-0.5  -0.5  0.0
-0.5  0.5  0.0
0.5  0.5  0.0
0.5  -0.5  0.0
-0.5  0.5  0.0
-0.5  1.5  0.0
0.5  1.5  0.0
0.5  0.5  0.0
-0.5  1.5  0.0
-0.5  2.5  0.0
0.5  2.5  0.0
0.5  1.5  0.0
-0.5  2.5  0.0
-0.5  3.5  0.0
0.5  3.5  0.0
0.5  2.5  0.0
-0.5  3.5  0.0
-0.5  4.5  0.0
0.5  4.5  0.0
0.5  3.5  0.0
-0.5  4.5  0.0
-0.5  5.5  0.0
0.5  5.5  0.0
0.5  4.5  0.0
0.5  -0.5  0.0
0.5  0.5  0.0
1.5  0.5  0.0
1.5  -0.5  0.0
0.5  0.5  0.0
0.5  1.5  0.0
1.5  1.5  0.0
1.5  0.5  0.0
0.5  1.5  0.0
0.5  2.5  0.0
1.5  2.5  0.0
1.5  1.5  0.0
0.5  2.5  0.0
0.5  3.5  0.0
1.5  3.5  0.0
1.5  2.5  0.0
0.5  3.5  0.0
0.5  4.5  0.0
1.5  4.5  0.0
1.5  3.5  0.0
0.5  4.5  0.0
0.5  5.5  0.0
1.5  5.5  0.0
1.5  4.5  0.0
1.5  -0.5  0.0
1.5  0.5  0.0
2.5  0.5  0.0
2.5  -0.5  0.0
1.5  0.5  0.0
1.5  1.5  0.0
2.5  1.5  0.0
2.5  0.5  0.0
1.5  1.5  0.0
1.5  2.5  0.0
2.5  2.5  0.0
2.5  1.5  0.0
1.5  2.5  0.0
1.5  3.5  0.0
2.5  3.5  0.0
2.5  2.5  0.0
1.5  3.5  0.0
1.5  4.5  0.0
2.5  4.5  0.0
2.5  3.5  0.0
1.5  4.5  0.0
1.5  5.5  0.0
2.5  5.5  0.0
2.5  4.5  0.0
2.5  -0.5  0.0
2.5  0.5  0.0
3.5  0.5  0.0
3.5  -0.5  0.0
2.5  0.5  0.0
2.5  1.5  0.0
3.5  1.5  0.0
3.5  0.5  0.0
2.5  1.5  0.0
2.5  2.5  0.0
3.5  2.5  0.0
3.5  1.5  0.0
2.5  2.5  0.0
2.5  3.5  0.0
3.5  3.5  0.0
3.5  2.5  0.0
2.5  3.5  0.0
2.5  4.5  0.0
3.5  4.5  0.0
3.5  3.5  0.0
2.5  4.5  0.0
2.5  5.5  0.0
3.5  5.5  0.0
3.5  4.5  0.0
3.5  -0.5  0.0
3.5  0.5  0.0
4.5  0.5  0.0
4.5  -0.5  0.0
3.5  0.5  0.0
3.5  1.5  0.0
4.5  1.5  0.0
4.5  0.5  0.0
3.5  1.5  0.0
3.5  2.5  0.0
4.5  2.5  0.0
4.5  1.5  0.0
3.5  2.5  0.0
3.5  3.5  0.0
4.5  3.5  0.0
4.5  2.5  0.0
3.5  3.5  0.0
3.5  4.5  0.0
4.5  4.5  0.0
4.5  3.5  0.0
3.5  4.5  0.0
3.5  5.5  0.0
4.5  5.5  0.0
4.5  4.5  0.0
4.5  -0.5  0.0
4.5  0.5  0.0
5.5  0.5  0.0
5.5  -0.5  0.0
4.5  0.5  0.0
4.5  1.5  0.0
5.5  1.5  0.0
5.5  0.5  0.0
4.5  1.5  0.0
4.5  2.5  0.0
5.5  2.5  0.0
5.5  1.5  0.0
4.5  2.5  0.0
4.5  3.5  0.0
5.5  3.5  0.0
5.5  2.5  0.0
4.5  3.5  0.0
4.5  4.5  0.0
5.5  4.5  0.0
5.5  3.5  0.0
4.5  4.5  0.0
4.5  5.5  0.0
5.5  5.5  0.0
5.5  4.5  0.0
